"Index","artist","album","title","duration","playcount","rating","rating_interpretation"
"47","Fozzy","Judas","Judas","4:09","12.0","5","thumbs-up"
"488","American Hi-Fi","American Hi-Fi","Flavor Of The Weak","3:08","2.0","5","thumbs-up"
"497","HIM","Love Metal","Funeral Of Hearts","4:31","5.0","5","thumbs-up"
"550","Men At Work","The Best Of Men At Work: Contraband","It's a Mistake","4:31","2.0","4",""
"726","Limp Bizkit","Greatest Hitz","Faith (Explicit)","2:26","6.0","5","thumbs-up"
"799","Iron Maiden","The Number Of The Beast","The Number Of The Beast","4:52","5.0","5","thumbs-up"
"815","The Dickies","The Incredible Shrinking Dickies (Expanded Version)","Banana Splits","1:56","8.0","5","thumbs-up"
"855","Stevie Boy","ICW","War Boy","2:36","16.0","5","thumbs-up"
"914","System of a Down","Toxicity","Toxicity","3:40","16.0","5","thumbs-up"
"923","AFI","Burials","I Hope You Suffer","4:37","47.0","5","thumbs-up"
"934","Muse","Origin Of Symmetry","Space Dementia","6:20","6.0","5","thumbs-up"
"1080","Jack Off Jill","Clear Hearts Grey Flowers","Lovesong","3:35","11.0","5","thumbs-up"
"1145","The Distillers","Coral Fang (PA Version)","Beat Your Heart Out","2:48","49.0","5","thumbs-up"
"1147","The Distillers","Coral Fang (PA Version)","Drain The Blood","3:08","49.0","5","thumbs-up"
"1154","Bring Me The Horizon","Sempiternal","Can You Feel My Heart","3:49","27.0","4",""
"1173","The Used & My Chemical Romance","In Love And Death","Under Pressure","3:32","31.0","4",""
"1208","Bring Me The Horizon","Sempiternal (Deluxe)","Hospital for Souls","6:46","29.0","4",""
"1229","St. Vincent","St. Vincent","Birth In Reverse","3:16","41.0","5","thumbs-up"
"1242","Violent Femmes","Permanent Record: The Very Best of Violent Femmes","Add It Up","4:45","25.0","5","thumbs-up"
"1320","Slipknot","Antennas To Hell","Before I Forget","4:23","8.0","4",""
"1362","Limp Bizkit","Significant Other","Break Stuff","2:47","20.0","4",""
"1426","Nine Inch Nails","Definitive NIN - The Singles","Closer","6:14","14","4",""
"1428","Jonathan Coulton","Thing a Week Three","Code Monkey","3:10","16.0","4",""
"1430","Foreigner","100 Hits: Rock (Disc 1)","Cold As Ice","3:18","33.0","5","thumbs-up"
"1455","Ozzy Osbourne","Greatest Hits","Crazy Train","4:50","22.0","5","thumbs-up"
"1466","Living Colour","WWE","Cult Of Personality [WWE Edit]","4:33","89.0","5","thumbs-up"
"1501","The Prodigy","Greatest Hits","Diesel Power","4:18","12.0","4",""
"1533","Slipknot","Antennas To Hell","Duality","4:46","22.0","5","thumbs-up"
"1553","The Four Horsemen","wCw","Entrance","2:20","18.0","4",""
"1586","Emilie Autumn","Fight Like A Girl [Single]","Fight Like A Girl","5:26","27.0","4",""
"1588","Europe","The Final Countdown","The Final Countdown","5:11","22.0","5","thumbs-up"
"1615","DJ Jazzy Jeff & The Fresh Prince","Will Smith: Greatest Hits","The Fresh Prince Of Bel Air","2:56","15.0","4",""
"1648","Bowling For Soup","100 Hits: Indie [Disc 2]","Girl All The Bad Guys Want","3:18","14.0","4",""
"1655","Red Hot Chili Peppers","Greatest Hits (Red Hot Chili Peppers)","Give It Away","4:44","13.0","4",""
"1657","Guided By Voices","How I Met Your Mother Season 4 OST","Glad Girls","3:50","9.0","4",""
"1672","Violent Femmes","","Good Feeling","3:53","20.0","4",""
"1686","The Darkness","Permission to Land","Growing on Me","3:31","18.0","4",""
"1695","Weezer","Weezer","Hash Pipe","3:07","17.0","5","thumbs-up"
"1705","Genki Rockets","Genki Rockets I -Heavenly Star-","Heavenly Star","3:58","18.0","4",""
"1734","Bring Me The Horizon","Sempiternal","The House Of Wolves","3:26","22.0","4",""
"1740","Nine Inch Nails","The Downward Spiral","Hurt","6:13","8.0","4",""
"1777","Stone Cold Steve Austin","WWE - The Music Vol.9 - Voices [Bonus]","I Won't Do What You Tell Me","3:03","27.0","4",""
"1778","Stone Cold Steve Austin","WWE - The Music - Raw Greatest Hits","I Won't Do What You Tell Me","3:03","27.0","4",""
"1779","Stone Cold Steve Austin","WWE - The Anthology (Disc 2)","I Won't Do What You Tell Me","3:03","27.0","4",""
"1886","Disturbed","Believe","Liberate","3:26","22.0","4",""
"1901","Judas Priest","100 Hits: Rock (Disc 4)","Living After Midnight","3:27","16.0","4",""
"1906","Queen","Deep Cuts Volume 1 (1973-1976)","Long Away","3:34","7.0","4",""
"1921","Ramin Djawadi","Game Of Thrones Seaon 1 OST","Main Title","1:47","20.0","4",""
"1926","Skrillex","Make It Bun Dem","Make It Bun Dem (feat. Damian ""Jr. Gong"" Marley)","13:03","8.0","4",""
"1956","Faith No More","The Very Best Definitive Ultimate Greatest Hits Collection","Midlife Crisis","4:22","22.0","5","thumbs-up"
"1985","Roxy Music","","Mother Of Pearl","6:52","8.0","4",""
"1992","Rusko","FabricLive.37","Mr Chips","2:13","9.0","4",""
"1994","Ozzy Osbourne","Greatest Hits","Mr. Crowley","4:56","25.0","4",""
"2003","Killswitch Engage","As Daylight Dies","My Curse","4:06","57.0","5","thumbs-up"
"2008","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","My Generation","3:42","7.0","4",""
"2013","Limp Bizkit","Supercharged","My Way","4:33","15","4",""
"2014","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","My Way","4:34","10.0","4",""
"2031","Brock Lesnar","WWE","Next Big Thing [2012 Single Edit]","3:03","28.0","4",""
"2033","Dr. Dre","2001 (Explicit Version)","The Next Episode (Explicit)","2:42","19.0","4",""
"2035","Jay-Z & Kanye West","Niggas In Paris - Single","Niggas In Paris","3:40","23.0","5","thumbs-up"
"2047","Linkin Park","Meteora","Numb","3:08","13","4",""
"2064","Linkin Park","Hybrid Theory","One Step Closer","2:38","16.0","4",""
"2143","Limp Bizkit","Significant Other","Rearranged","5:55","7.0","4",""
"2176","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","Rollin' (Air Raid Vehicle)","3:35","29.0","5","thumbs-up"
"2184","Placebo","Covers","Running Up That Hill","4:54","17.0","5","thumbs-up"
"2215","Bring Me The Horizon","Sempiternal","Shadow Moses","4:04","29.0","5","thumbs-up"
"2224","Veruca Salt","Blow It Out Your Ass, It's Veruca Salt","Shimmer Like A Girl","4:03","9.0","4",""
"2247","Velvet Revolver","Contraband","Slither","4:09","12.0","4",""
"2279","3OH!3","Want","Starstrukk (feat. Katy Perry)","3:23","27.0","5","thumbs-up"
"2282","The Raconteurs","100 Hits: Indie [Disc 2]","Steady, As She Goes","3:36","5.0","4",""
"2300","The Postal Service","Digital Bang: Sub Popâ€™s Amazon Sampler","Such Great Heights","4:29","27.0","5","thumbs-up"
"2345","Less Than Jake","Anthem","That's Why They Call It A Union","3:04","13.0","4",""
"2367","Ice Cube","The Predator","Today Was A Good Day","4:20","33.0","5","thumbs-up"
"2400","Jack Off Jill","Clear Hearts Grey Flowers","Vivica","5:08","23.0","4",""
"2409","Slipknot","Antennas To Hell","Wait And Bleed","2:28","7.0","4",""
"2410","Slipknot","Antennas To Hell","Wait And Bleed","2:47","7.0","4",""
"2452","She & Him","Volume One","Why Do You Let Me Stay Here?","2:33","21.0","4",""
"2472","Sheamus","WWE","Written In My Face [Intro Cut]","3:26","16.0","4",""
"2481","The 88","","You Belong To Me","3:28","10.0","4",""
